,Show Number,Air Date,Round,Category,Value,Question,Answer
94425,3868,30/05/2001,Double Jeopardy!,THE KINGS OF ENGLAND,$200,From 1714 to 1830 every king of England had this name,George
95019,3662,04/07/2000,Double Jeopardy!,CELEBRATING THE IV,$400,"Regent for his predecessor from 1811 to 1820, he was king of England on his own from 1820 to 1830",George IV
95375,3381,26/04/1999,Double Jeopardy!,MEDITERRANEAN HISTORY,$200,"Like England's William I, Aragon's Jaime I won this nickname, in part by taking over Valencia","""The Conqueror"""
101374,4262,25/02/2003,Double Jeopardy!,17th CENTURY DRAMA,$1200,"""Carolus Stuardus"" by Andreas Gryphius is about this executed king of England",Charles I
103704,2857,21/01/1997,Double Jeopardy!,RULERS,$1000,This king of England was the grandfather of Elizabeth I,Henry VII
110508,4831,19/09/2005,Double Jeopardy!,SONNETS,$1200,"This Romantic began his ""England in 1819"", ""An old, mad, blind, despised and dying king""",Shelley
111926,1331,21/05/1990,Jeopardy!,"FILE UNDER ""M""","$1,000","It begins ""John, by the grace of God, King of England, Lord of Ireland, Duke of Normandy & Aquitaine....""",Magna Carta
115727,2585,24/11/1995,Double Jeopardy!,WORLD HISTORY,$1000,"In 1191, Berengaria married this king of England in Limassol, Cyprus",Richard the Lionheart
118809,1905,11/12/1992,Jeopardy!,KINGS & QUEENS,$300,In French this King of England is called Guillaume le Conquerant,William the Conqueror
119321,4915,13/01/2006,Double Jeopardy!,OLD HAMPSHIRE,$200,"Winchester, the county seat of Hampshire, was the capital of this Western Anglo-Saxon kingdom of England",Wessex
121469,4889,08/12/2005,Double Jeopardy!,BUILDING CHARACTER,$800,"In this Twain tale, Tom Canty is a dead ringer for the future king of England",The Prince and the Pauper
123299,4656,29/11/2004,Jeopardy!,CHAIRS,$400,"If you want to be crowned King of England, this rock has to be in your coronation chair",the Stone of Scone
123671,5718,17/06/2009,Jeopardy!,A YEAR ENDING IN '09,$1000,King Henry VII of England dies,1509
125257,4685,07/01/2005,Jeopardy!,III,$800,"The first Hanoverian king born in England, he ruled for 60 years, from 1760 to 1820",George III
125822,4042,12/03/2002,Double Jeopardy!,"PAINT IT ""BLACK""","$5,000",Famous nickname of the eldest son of England's King Edward III,the Black Prince
125999,4886,05/12/2005,Double Jeopardy!,THE PROPHECIES OF NOSTRADAMUS,$2000,"""More butcher than king in England"" is seen as this leader born in 1599, 33 years after Nostradamus died",Oliver Cromwell
127484,1325,11/05/1990,Double Jeopardy!,MEDIEVAL PEOPLE,$600,Ethelred the Unready managed to lose most of England to King Sweyn Forkbeard of this country,Denmark
127758,6021,15/11/2010,Jeopardy!,STATE FACTS,$600,This state was named for the King of England who reigned from 1727 to 1760,Georgia
129106,4906,02/01/2006,Double Jeopardy!,HISTORIC NICKNAMES,$2000,"King Edward I of England, who fought William Wallace, had this nickname relating to his height","""Longshanks"""
130208,5222,01/05/2007,Jeopardy!,ROYALTY,$600,"This ""Sun King"" sniffed, ""England is a little garden full of sour weeds""",Louis XIV
133886,4168,16/10/2002,Jeopardy!,THE ROSES,$800,This conflict's last battle in 1485 resulted in the house of Lancaster taking power in England,Wars of the Roses
137753,4144,12/09/2002,Jeopardy!,'90s MOVIE LINES,$600,"1999: ""Goodnight you princes of Maine, you kings of New England""",The Cider House Rules
137818,3368,07/04/1999,Jeopardy!,PEOPLE IN HISTORY,$400,The last King William to rule England had this number after his name,IV
139253,5586,15/12/2008,Jeopardy!,PODGE-POURRI,$800,"1189,1377 &1483 are the 3 years the only 3 kings of England with this name each ascended the throne",Richard
140080,3020,17/10/1997,Jeopardy!,WORLD HISTORY,$200,"In 1191 this ""Lion-Hearted"" king of England captured Cyprus & Acre during the Crusades",Richard I
140941,5557,04/11/2008,Double Jeopardy!,FOREIGN-BORN LEADERS,$2000,Dutch-born Protestant Prince William of Orange became king of England after this Catholic king was deposed & fled,James II
143216,3200,26/06/1998,Jeopardy!,BIBLICAL GUYS,$300,Anglo-Saxon legend says his third son Japheth is an ancestor of the kings of Wessex & England,Noah
143434,1882,10/11/1992,Double Jeopardy!,ART,$800,This Flemish artist painted a unique triple portrait of England's King Charles I around 1637,Anthony van Dyck
148050,1660,15/11/1991,Double Jeopardy!,THE VIKINGS,$1000,"In the late 800s, this king of Wessex prevented the Vikings from conquering all of England",Alfred the Great
148383,5907,27/04/2010,Double Jeopardy!,1910,$800,"Ending an 800-year-old monarchy, in October this country became a republic & its last king, Manuel II, fled to England",Portugal
148910,3527,28/12/1999,Double Jeopardy!,THE CRUSADES,$200,"On his way back from failing to take Jerusalem in 1192, this king of England was captured & later ransomed",Richard the Lionhearted
150622,1150,08/09/1989,Double Jeopardy!,BRITISH ROYALTY,$200,The only king of England named Stephen was the grandson of this conqueror,William the Conqueror
150640,1150,08/09/1989,Double Jeopardy!,BRITISH ROYALTY,$800,England had this many kings named Richard,3
150880,4790,03/06/2005,Double Jeopardy!,20th CENTURY BRITISH HISTORY,$1200,"During Stanley Baldwin's term as P.M., this King of England abdicated",King Edward VIII
151335,4289,03/04/2003,Jeopardy!,LOTTO FEVER,$1000,"2000 saw a fight in England over running the lottery, with this Virgin king at the forefeont",Richard Branson
151746,314,21/11/1985,Jeopardy!,NURSERY RHYMES,$300,"Colchester, England was named for this legendary Celtic king immortalized in rhyme",Old King Cole
153110,3884,21/06/2001,Final Jeopardy!,HISTORY & LITERATURE,None,"At the beginning of ""A Tale of Two Cities"", these 2 kings sit on the thrones of England & France",George III & Louis XVI
158120,4633,27/10/2004,Double Jeopardy!,POTENTATE POTABLES,$1200,"This Dutch-born English king introduced gin to England as the ""pouring spirit"" in the palace at Hampton Court",William III
159374,3789,08/02/2001,Double Jeopardy!,LONG LIVE THE KING!,"$1,500",A translation of the Bible is named for this king of England & Scotland,James (I)
159378,3789,08/02/2001,Double Jeopardy!,LONG LIVE THE KING!,$800,This king divorced the Church of England from the Catholic Church so that he could divorce the first of 6 wives,Henry VIII
162515,5427,25/03/2008,Double Jeopardy!,WORLD HISTORY,$1200,"The Glorious Revolution of 1688 brought this Dutchman to power as king of England, Scotland, & Ireland",William of Orange
162560,5765,09/10/2009,Jeopardy!,"YORKS: OLDE, NEW & DICK",$1000,"This Shakespeare title guy, the last Yorkist king of England, was beloved by the people of York",Richard III
165110,4255,14/02/2003,Jeopardy!,HIGH COUP,$1000,"The 1st commoner to rule England, he became lord protector following the overthrow of King Charles I",Oliver Cromwell
165197,6272,20/12/2011,Double Jeopardy!,TOUCHED BY AN ANGEL,$2000,"The ""Angel of Hadley"" is said to have saved a New England town during the war with this Indian ""King""",King Philip
166055,3279,03/12/1998,Jeopardy!,WORLD CUP '98,$300,"Argentina didn't ""kick"" about this controversial tie-breaking method after using it to beat England",Penalty kicks/shootout
167337,1312,24/04/1990,Double Jeopardy!,ROYALTY,"$2,000",The last Anglo-Saxon king of England was killed in this battle,Battle of Hastings (which Harold II lost)
170007,5455,02/05/2008,Double Jeopardy!,THE SWEET 1600s,$1600,"In the 1697 Treaty of Rijswijk, the French recognized this Dutch-born man as King of England",William of Orange
170222,3159,30/04/1998,Jeopardy!,KINGS,$500,A breed of spaniel is named for England's second king of this name,Charles II
174055,2143,22/12/1993,Double Jeopardy!,HISTORIC PEOPLE,$200,This conqueror was crowned King of England on Christmas Day 1066,William
175259,3055,05/12/1997,Double Jeopardy!,THE 1930s,$400,His short reign as King of England fell in in 1936,King Edward VIII
178590,3718,01/11/2000,Jeopardy!,HISTORY,$500,He succeeded Henry II as king of England in 1189 & was himself succeeded by John in 1199,Richard the Lionhearted
178653,733,11/11/1987,Jeopardy!,RECREATION,$500,Soccer was forbidden in 14th century England for taking practice time away from this military skill,archery
178921,4573,23/06/2004,Jeopardy!,RICHARD III,$200,Richard was crowned king of England at this place of worship,Westminster Abbey
181798,5359,20/12/2007,Jeopardy!,IT HAPPENED ON CHRISTMAS DAY,$400,1066: He's crowned king of England,William the Conqueror
183462,3099,05/02/1998,Final Jeopardy!,ROYALTY,None,"A capital in the West Indies is named for this family name of William of Orange, King of England",Nassau
183694,6269,15/12/2011,Double Jeopardy!,TIMES PAST,$2000,By 878 the Vikings had conquered all of England except for this southern kingdom controlled by Alfred the Great,Wessex
186239,5339,22/11/2007,Double Jeopardy!,EUROPEAN HISTORY,$800,"He was King of England from 1189 to 1199 but spent only 6 months there; the rest of the time, he was off fighting",Richard the Lionheart
187651,5264,28/06/2007,Jeopardy!,CAPITALS OF THE WEST INDIES,$600,This Bahamian capital took its name from the family name of King William III of England,Nassau
188559,3365,02/04/1999,Double Jeopardy!,ARCHITECTURE,$400,This style influenced by the Romans is named for England's 4 kings between 1714 & 1830,Georgian
189674,3650,16/06/2000,Jeopardy!,"""BO"" KNOWS",$200,In January 1533 she secretly married the king of England,Anne Boleyn
190102,4211,16/12/2002,Jeopardy!,THINK ABOUT IT,$800,The man who became king of England in 1066 was succeeded by this king in 1087,William II
191329,4329,29/05/2003,Double Jeopardy!,BUSINESS & INDUSTRY,$1600,"This Coventry, England company made its first motorcycle in 1902 & began making its own engines in 1905",Triumph
191531,5911,03/05/2010,Double Jeopardy!,HE DIED A DEADLY DEATH,$400,"On Jan. 28, 1547, after a physical & mental decline, this king of England was (surprisingly) survived by his wife Catherine",Henry VIII
191579,5453,30/04/2008,Jeopardy!,BATTLES,$800,England's King Harold II lost the all-important Battle of Hastings in this year,1066
191885,2840,27/12/1996,Jeopardy!,"""E""ASY DOES IT",$500,1 of the first 5 kings of England,"Egbert, Ethelbald. Ethelbert, Ethelred & Ethelwolf"
191969,2815,22/11/1996,Double Jeopardy!,HISTORIC PEOPLE,$1000,"On January 6, 1066, one day after Edward the Confessor died, he became king of England",Harold
192265,6292,17/01/2012,Double Jeopardy!,NORWAY'S CULTURE & HISTORY,$1600,"(<a href=""http://www.j-archive.com/media/2012-01-17_DJ_25.jpg"" target=""_blank"">Sarah of the Clue Crew stands in front of the Royal Palace in Oslo, Norway.</a>) King Harald V lives here, in Norway's Royal Palace. He and his second cousin, England's Queen Elizabeth, are both great-grandchildren of this British king, who ruled from 1901 to 1910.",Edward VII
192966,6175,17/06/2011,Double Jeopardy!,HERO SANDWICH,$800,England's King _____ _____ R. Luce,John Henry
194516,6114,24/03/2011,Double Jeopardy!,THE YUCKS STOP HERE,$1600,"The ""Monty Python"" member who played King Arthur, he ended his grail quest in Maidstone, England",Graham Chapman
195099,3590,24/03/2000,Double Jeopardy!,ENGLISH MONARCHS,$600,"In 1714 the Prince of Hanover, who spoke little English, became king of England under this name",George I
195105,3590,24/03/2000,Double Jeopardy!,ENGLISH MONARCHS,$800,In 1603 he became the first Stuart king of England,James I
196287,2992,09/09/1997,Double Jeopardy!,HISTORY,$1000,England's Richard III was the last king of this ruling house,York
200369,2937,13/05/1997,Jeopardy!,BRITISH HISTORY,$200,8th C. King Offa built a 170-mile north-south dike that still partly marks the border of England & this country,Wales
200381,2937,13/05/1997,Jeopardy!,BRITISH HISTORY,$400,"This monarch on whom the Magna Carta was forced has been called ""the worst king ever to rule England""",King John
201168,3515,10/12/1999,Jeopardy!,BEFORE & AFTER,$500,Popular Saint-Exupery character waiting around to become king of England,The Little Prince of Wales
202011,5218,25/04/2007,Jeopardy!,EARS TO YOU!,$1000,"In 1731 this man's ear was cut off, later sparking a war between Spain & England",Captain Jenkins
204778,5899,15/04/2010,Double Jeopardy!,THE 13 COLONIES' NAME ORIGINS,$1200,"This southern colony was named for a king of England, the II of that name",Georgia
208295,4621,11/10/2004,Jeopardy!,THE VIKINGS,$600,In 1066 this great-great grandson of Rollo made what some call the last Viking invasion of England,William the Conqueror
208742,4863,02/11/2005,Double Jeopardy!,BEFORE & AFTER,"$3,000",Dutch-born king who ruled England jointly with Mary II & is a tasty New Zealand fish,William of Orange roughy
213870,5856,15/02/2010,Double Jeopardy!,URANUS,$1600,In 1781 William Herschel discovered Uranus & initially named it after this king of England,George III
216021,1881,09/11/1992,Double Jeopardy!,HISTORIC NAMES,$1000,"His nickname was ""Bertie"", but he used this name & number when he became king of England in 1901",Edward VII
216789,5070,29/09/2006,Double Jeopardy!,ANCIENT HISTORY,$1200,"This kingdom of England grew from 2 settlements, one founded around 495 by Cerdic & his son Cynric",Wessex
