,Show Number,Air Date,Round,Category,Value,Question,Answer,value_float
6855,5363,2007-12-26,Double Jeopardy!,"""PUN"" JAB",$1600,"William Gibson pioneered this sci-fi genre of characters in a dark, futuristic world dominated by computers",cyberpunk,1600.0
6983,4667,2004-12-14,Double Jeopardy!,MED. ABBREV.,$2000,A CAT scan is computerized axial this kind of imaging,tomography,2000.0
7081,5476,2008-02-06,Double Jeopardy!,COMPUTER TERMS,$400,"It can mean any computer used by an individual, or an IBM-type machine as opposed to a Mac",a P.C.,400.0
8239,3898,2001-11-07,Double Jeopardy!,HOLD THE MAYO CLINIC,$1000,In 1973 Mayo introduced to North America this scanner that uses a computer & X-rays,CT scanner,1000.0
8521,5443,2008-04-16,Double Jeopardy!,SIGNS & SYMBOLS,$800,"Seen <a href=""http://www.j-archive.com/media/2008-04-16_DJ_13.jpg"" target=""_blank"">here</a> is a computer emoticon used to represent this Beatle",John Lennon,800.0
9290,3820,2001-03-23,Jeopardy!,IT SOUNDS LIKE,$500,"A runway material, it sounds like what you do before you feather your Apple computer",Tarmac,500.0
12327,6230,2011-10-21,Jeopardy!,"THAT'S ""UN"" CALLED FOR!",$800,To remove a no-longer-wanted computer program from your hard drive,uninstall,800.0
13180,4849,2005-10-13,Double Jeopardy!,STAR WARS FOREVER,$1600,"In ""Attack of the Clones"" and ""Revenge of the Sith"", this old Jedi master was entirely computer-generated",Yoda,1600.0
14732,4628,2004-10-20,Jeopardy!,COMPUTING 101,$200,"5-letter term for an ""infectious"" program designed to harm your computer",a virus,200.0
14755,4628,2004-10-20,Jeopardy!,COMPUTING 101,$1000,"Sometimes your computer is fine, but this, your LAN, is down",local area network,1000.0
15627,5200,2007-03-30,Double Jeopardy!,BILLIONS & BILLIONS,$1600,It's used to indicate the speed of a computer operation; one billion of them make up a second,a nanosecond,1600.0
16020,5346,2007-03-12,Double Jeopardy!,SCI. ABBREV.,$400,"In computer science, GUI is this kind of user interface",graphical,400.0
16027,5346,2007-03-12,Double Jeopardy!,RETRONYMS,$800,The computer age necessitated this rhyming term for letters delivered through the post,snail mail,800.0
16049,5001,2006-05-15,Jeopardy!,OK COMPUTER,$200,"This ""high-flying"" computer program from Adobe converts other types of documents into a PDF file",Acrobat,200.0
16061,5001,2006-05-15,Jeopardy!,OK COMPUTER,$600,"This popular Internet service provider began as QCS, Quantum Computer Services",AOL (America Online),600.0
16073,5001,2006-05-15,Jeopardy!,OK COMPUTER,$1000,"It can be a hiding place for food or treasure, or a place for memory on a computer's motherboard",a cache,1000.0
17650,5628,2009-11-02,Double Jeopardy!,A DAY AT THE MUSEUM,$800,"(<a href=""http://www.j-archive.com/media/2009-02-11_DJ_12.jpg"" target=""_blank"">Sarah of the Clue Crew reports from Bilbao, Spain.</a>) What ""The New York Times"" called ""the miracle in Bilbao"", <a href=""http://www.j-archive.com/media/2009-02-11_DJ_12a.jpg"" target=""_blank"">this</a> building was made possible by computer design & a 1/10th-inch thick <a href=""http://www.j-archive.com/media/2009-02-11_DJ_12b.jpg"" target=""_blank"">skin</a> made of this material used on spacecraft",titanium,800.0
17773,3779,2001-01-25,Double Jeopardy!,ALMOST REAL,$600,"This computer-generated Gungan from Naboo didn't get good reviews from the ""Star Wars"" fans",Jar Jar Binks,600.0
18193,5280,2007-07-20,Double Jeopardy!,FAMOUS CANADIANS,$1600,James Gosling helped create this computer language that shares its name with a breakfast beverage,Java,1600.0
19393,5815,2009-12-18,Jeopardy!,"""BY"" NOW",$400,Take a nibble on this 8-part computer unit,a byte,400.0
20019,3582,2000-03-14,Double Jeopardy!,DOUBLE DOUBLE LETTERS,$200,"It's the ""A"" in the RAM of your computer",Access,200.0
20974,3647,2000-06-13,Jeopardy!,THE RATING GAME,$500,Since 1991 the Billboard charts have used this computerized system to track sales,SoundScan,500.0
22650,4900,2005-12-23,Double Jeopardy!,THE OFFICE,$800,"Look ""inside"" Santa Clara, Calif. for the HQ of this computer hardware company founded in 1968",Intel,800.0
22667,4900,2005-12-23,Double Jeopardy!,OBSOLETELY FABULOUS,$2000,"<a href=""http://www.j-archive.com/media/2005-12-23_DJ_05.jpg"" target=""_blank"">Here</a> is what you'd see if you used this type of computer printer with a 9-, 18-, or 24-pin print head",a dot-matrix printer,2000.0
23234,3540,2000-01-14,Double Jeopardy!,COMPUSPEAK,$200,"Logically enough. sending a file from computer to network, the opposite of downloading, is called this",Uploading,200.0
23694,5967,2010-07-20,Jeopardy!,1984,$400,January 24: Apple introduces this influential  computer model,the Macintosh,400.0
23698,5967,2010-07-20,Jeopardy!,"HELLO, DOLL-Y",$600,"Mattel has announced 2 new ""I Can Be..."" dolls of her: news anchor & computer engineer",Barbie,600.0
23983,4664,2004-09-12,Double Jeopardy!,SIGNS & SYMBOLS,$2000,This up-pointing symbol is usually found at the top of the 6 key on a computer keyboard,a caret,2000.0
24282,5120,2006-08-12,Jeopardy!,FOOD STUFF?,$400,"On May 8, 2006 this computer co. won a dismissal of a trademark infringement lawsuit by this ""Corps""",Apple,400.0
24317,5120,2006-08-12,Double Jeopardy!,LANDMARK CINEMA VILLAINS,$1200,"In ""2001: A Space Odyssey"", this computer is pleasant, logical, calm & deadly!",HAL,1200.0
24443,4167,2002-10-15,Double Jeopardy!,ACRONYMS,$1600,"It's the first ""I"" in ASCII, a computer code for representing letters as numbers",information,1600.0
24743,3776,2001-01-22,Double Jeopardy!,SCIENTISTS & INVENTORS,$800,His supercomputer earned him a place in the National Inventors Hall of Fame,Seymour Cray,800.0
25535,5860,2010-02-19,Jeopardy!,TECHNOLOGY,$400,Erase a hard disk before disposing of a computer: putting personal data out there risks this 2-word crime,identity theft,400.0
26918,4892,2005-12-13,Jeopardy!,THE APPLE OF MY EYE,$400,The Apple iBook & Powerbook are this type of portable computer,a laptop (or a notebook),400.0
26936,4892,2005-12-13,Jeopardy!,THE APPLE OF MY EYE,$1000,"This ""speedy"" Mac software lets you watch movies or graphics on your PC or Mac computer",QuickTime,1000.0
27985,4955,2006-10-03,Jeopardy!,LET'S SPLIT!,$200,In 2000 Judge Thomas Penfield Jackson ruled that this computer company should be split in two,Microsoft,200.0
29391,5522,2008-09-16,Jeopardy!,"REMEMBER ""Y"" 2 ""K""",$1000,One tap on a computer terminal gives us this compound word,keystroke,1000.0
29902,4494,2004-04-03,Jeopardy!,WANNA BET?,$400,"In the '50s, Edward Thorp fed millions of hands of this game into a computer which figured out how to win at it",blackjack,400.0
29954,3724,2000-09-11,Jeopardy!,WEIGHTS & MEASURES,$100,"Computer hard drives are usually measured in GBs, which are these",Gigabytes,100.0
30541,6152,2011-05-17,Double Jeopardy!,STUFF,$1200,"StuffIt, which makes computer files smaller, is this type of program, also a kind of wave or bandage",compression,1200.0
30571,5612,2009-01-20,Jeopardy!,"YOU ""GO"" FIRST",$600,A 1990s computer text retrieval protocol shared its name with this rodent,Gopher,600.0
30938,3725,2000-10-11,Jeopardy!,"""the ONION""",$500,"It was a sad day when an employee of this computer company was fired for ""thinking a little too different""",Apple,500.0
32579,5657,2009-03-24,Double Jeopardy!,A VISIT TO BROOKHAVEN NATIONAL LABORATORY,$2000,"(<a href=""http://www.j-archive.com/media/2009-03-24_DJ_28.wmv"">Sarah of the Clue Crew reports from inside a supercomputer room at Brookhaven National Laboratory, Long Island, NY</a>)  NY Blue is an 18-rack supercomputer at Brookhaven that processes in terms of this speed--one trillion floating operations per second",a teraflop,2000.0
33083,6104,2011-10-03,Double Jeopardy!,ARGONNE NATIONAL LABORATORY,$800,"(<a href=""http://www.j-archive.com/media/2011-03-10_DJ_27.wmv"">Sarah of the Clue Crew reports from the Argonne National Lab in Chicago.</a>) Scientists studying the life cycle of stars have used the Argonne National Labs' supercomputer to investigate the nuclear flame bubble that builds up inside a white dwarf just before one of these spectacular events",a supernova,800.0
33902,5668,2009-08-04,Jeopardy!,MODERN TECHNOLOGY,$800,Los Alamos now has the fastest computer; it was designed using technology from this Sony gaming system,PlayStation 3,800.0
35728,3575,2000-03-03,Double Jeopardy!,ODD WORDS,$800,"From the first 6 letters at the upper left, it's the arrangement of a standard computer keyboard",QWERTY,800.0
36139,5754,2009-09-24,Double Jeopardy!,BEYOND MEASURE,"$3,000","A mickey, used to measure movement of this computer part, equals 1/200th of an inch",a mouse,3000.0
37279,4887,2005-06-12,Double Jeopardy!,ENDS IN AN F SOUND,$1200,"In computer animation, it means to transform an image, such as changing a man into a mouse",morph,1200.0
37343,5088,2006-10-25,Double Jeopardy!,EPONYMOUS SCIENCE,"$4,000","A triangle, a theorem, a law & a computer language are named for this Frenchman",Pascal,4000.0
37641,3729,2000-11-16,Double Jeopardy!,"""V"" SHALL SEE","$3,000","Meaning word-for-word, it's also a brand of computer disk",Verbatim,3000.0
38744,4721,2005-02-28,Jeopardy!,"THE ""B.G.""s",$600,"As teens, he & Paul Allen ran Traf-O-Data, a company that used a computer to analyze traffic patterns",Bill Gates,600.0
39694,4894,2005-12-15,Jeopardy!,COMPUTER TERMS,$600,The ROM of your computer's CD-ROM stands for this,read-only memory,600.0
39700,4894,2005-12-15,Jeopardy!,COMPUTER TERMS,$800,"2-word term for something nice to wear in winter, or for restarting a computer without turning off the power",warm boot,800.0
40590,5824,2009-12-31,Jeopardy!,MARSHALL ARTS,$1000,"Marshall McLuhan summarized the influence of TV & computers with his aphorism ""The medium is"" this",the message,1000.0
40733,5164,2007-08-02,Double Jeopardy!,WHEN THEY WERE TEENS,$1600,"As a student at Eton, he did have his own laptop computer, despite being second in line to the British throne",Prince William,1600.0
40816,4940,2006-02-17,Jeopardy!,TURN ON YOUR COMPUTER,$400,This 2-letter Windows computer operating system was introduced in October 2001,XP,400.0
40828,4940,2006-02-17,Jeopardy!,TURN ON YOUR COMPUTER,$800,"In computerese, it's what the P stands for in the abbreviation HTTP",protocol,800.0
40991,6085,2011-11-02,Jeopardy!,"""WARE""-ING",$600,Malicious computer programs that are secretly installed on a computer to steal the user's private information,spyware,600.0
41138,5925,2010-05-21,Double Jeopardy!,ABBREV.,$800,"In the computer world, NAVI is Norton this",Antivirus,800.0
41744,5406,2008-02-25,Double Jeopardy!,THEY MEAN BUSINESS!,$400,"""Computer, Communication, Compatibility"" were combined to describe the business of this Silicon Valley co.",3Com,400.0
41961,5593,2008-12-24,Jeopardy!,TECH-KNOW-LEDGY,$800,"To stop attackers from accessing your computer, in network settings, shut off the print sharing & this other ""sharing""",file sharing,800.0
41967,5593,2008-12-24,Jeopardy!,TECH-KNOW-LEDGY,$1000,"(<a href=""http://www.j-archive.com/media/2008-12-24_J_21.jpg"" target=""_blank"">Agent Jenkins of the Geek Squad presents the clue.</a>)  We can geek-up your computer by installing a printer, digital camera or any other external device, which is called this in computer speak, from the Greek for ""to carry around""",a peripheral,1000.0
42560,6100,2011-04-03,Jeopardy!,TECH-KNOW,$800,Copying info from a computer to a CD is called burning; doing the reverse is this other destructive term,ripping,800.0
43333,5998,2010-10-13,Jeopardy!,VS.,$400,Home computer buyers choose between these 2 types played by Justin Long & John Hodgman in commercials,a PC & a Mac,400.0
45972,5464,2008-05-15,Jeopardy!,THEY HAIL FROM WISCONSIN,$1000,In 1925 Chippewa Falls produced this mathematician hailed as the father of the supercomputer,Seymour Cray,1000.0
46817,4411,2003-10-11,Jeopardy!,ABBR.,$600,Computer users should know that BBS stands for this,bulletin board system,600.0
48482,5239,2007-05-24,Jeopardy!,'80s MOVIE MEMORIES,$400,"(<a href=""http://www.j-archive.com/media/2007-05-24_J_07.jpg"" target=""_blank"">Kelly of the Clue Crew reports from NORAD.</a>) The experiments of a teenage computer whiz led him to NORAD's Nuclear War Operations Centre in this 1983 film",WarGames,400.0
49402,5466,2008-05-19,Jeopardy!,TECHNOLOGY,$1000,"The engine control unit, a car's smartest computer, monitors systems like injection of this",fuel,1000.0
51356,5124,2006-12-14,Jeopardy!,"THE BEST LITTLE ""WARE""HOUSE",$400,One-word term for computer programs distributed without charge,freeware,400.0
52177,5971,2010-07-26,Double Jeopardy!,"REMEMBER THE ""MAIN""",$1200,A central computer that supports peripheral or subordinate ones,a mainframe,1200.0
52230,3753,2000-12-20,Double Jeopardy!,CAROLS,$400,This last name of the model & actress seen here is also on your computer keyboard,Alt,400.0
53040,5773,2009-10-21,Jeopardy!,WHERE IN THE WORLD IS YOUR HQ?,$1000,Mahindra Satyam Computer Services,India,1000.0
53070,5773,2009-10-21,Double Jeopardy!,ARE YOU TOYING WITH ME?,$2000,"The Fly, the first pentop computer, is made by this company that ""jumped"" on the educational toys market",Leapfrog,2000.0
53615,5138,2007-03-01,Jeopardy!,TECH SUPPORT,$200,"(<a href=""http://www.j-archive.com/media/2007-01-03_J_01.jpg"" target=""_blank"">Kelly of the Clue Crew holds a piece of computer hardware.</a>)  For better gaming graphics, just add this component that takes binary data and converts it to a picture",a graphics card,200.0
53621,5138,2007-03-01,Jeopardy!,TECH SUPPORT,$400,"(<a href=""http://www.j-archive.com/media/2007-01-03_J_02.jpg"" target=""_blank"">Cheryl of the Clue Crew stands next to an open computer case.</a>)  If you hear a whir & a clunk & can't get into Windows, this part that stores information on magnetic platters has failed",hard drive (or hard disk drive),400.0
53627,5138,2007-03-01,Jeopardy!,TECH SUPPORT,$600,"(<a href=""http://www.j-archive.com/media/2007-01-03_J_03.jpg"" target=""_blank"">Jon of the Clue Crew holds up a smaller piece of computer hardware.</a>)  One of the easiest ways to improve your computer's performance is to add more of this type of memory chip",RAM (or Random Access Memory),600.0
53633,5138,2007-03-01,Jeopardy!,TECH SUPPORT,$800,"(<a href=""http://www.j-archive.com/media/2007-01-03_J_07.jpg"" target=""_blank"">Sarah of the Clue Crew points to something in an open computer case.</a>)  It might be cheaper to buy a new computer if <a href=""http://www.j-archive.com/media/2007-01-03_J_07a.jpg"" target=""_blank"">this part</a> is fried--it's the main circuit board of your computer",the motherboard,800.0
53639,5138,2007-03-01,Jeopardy!,TECH SUPPORT,$1000,"(<a href=""http://www.j-archive.com/media/2007-01-03_J_08.jpg"" target=""_blank"">Jimmy of the Clue Crew inserts a cable into a port on the front of a computer case.</a>)  To hook up a new digital camera, you'll want to use <a href=""http://www.j-archive.com/media/2007-01-03_J_08a.jpg"" target=""_blank"">this</a> 3-letter type of port",USB,1000.0
53709,4535,2004-04-30,Double Jeopardy!,LITTLE FEAT,$400,"Expressed as a 1 or a 0, it's the smallest unit of information storable on a computer",bit,400.0
56262,4145,2002-09-13,Jeopardy!,FORBES MAGAZINE'S RICHEST,$200,This man is Number 1 with $53 billion; just turn on any computer if you need a clue,Bill Gates,200.0
56392,4958,2006-03-15,Jeopardy!,"FOR THE ""MAIN"" COURSE",$400,"9-letter word for a large computer, often the hub of a system serving many users",the mainframe,400.0
57208,5582,2008-09-12,Double Jeopardy!,WHAT A CONCEPT,$1600,"This music trade group tried suing Gertrude Walton for piracy, but she was dead & had never owned a computer",RIAA (the Recording Industry Association of America),1600.0
58624,6264,2011-08-12,Double Jeopardy!,ONCE THERE WERE NO COMPUTERS,$400,"Before computer games, this ""happy"" term referred to a control rod used by pilots",a joystick,400.0
59488,5016,2006-05-06,Jeopardy!,LOST ART,$400,"(<a href=""http://www.j-archive.com/media/2006-06-05_J_22.jpg"" target=""_blank"">Jon of the Clue Crew displays the words ""Daily Double"" on the monitor in an archaic script.</a>)  One skill that's losing ground in the computer age is this type of writing, where the letters run together, from the Latin for ""run""",cursive,400.0
59506,5016,2006-05-06,Jeopardy!,LOST ART,$1000,"In the 1972 book ""Working"", a man with this music-related job says computers can't replace the human ear--sorry, pal",piano tuner,1000.0
59795,6009,2010-10-28,Jeopardy!,SHE'S A LADY,$400,"Britannica calls Lady Augusta Ada, daughter of this rakish 19th c. poet, ""the world's first computer programmer""",Lord Byron,400.0
60109,5483,2008-11-06,Jeopardy!,GEEK SQUAD,$1000,"(<a href=""http://www.j-archive.com/media/2008-06-11_J_30.jpg"" target=""_blank"">A Geek indicates a computer port.</a>) Today it's easy connecting devices by using USB; older computers use 2 types of ports, parallel & this one",serial,1000.0
60329,6208,2011-09-21,Jeopardy!,OUR NEW COMPUTER OVERLORDS,$200,In 2008 an IBM supercomputer named for this speedy state bird broke the 1 petaflop barrier--that's really fast,a roadrunner,200.0
60335,6208,2011-09-21,Jeopardy!,OUR NEW COMPUTER OVERLORDS,$400,Most modern supercomputers run on this operating system developed by Linus Torvalds,Linux,400.0
60921,4686,2005-10-01,Final Jeopardy!,20th CENTURY AUTHORS,None,"This Russian-born author & scientist who died in 1992 said, ""I do not fear computers.  I fear the lack of them""",Isaac Asimov,0.0
61725,5006,2006-05-22,Jeopardy!,MOVIE TERMS,$800,"(<a href=""http://www.j-archive.com/media/2006-05-22_J_22.jpg"" target=""_blank"">Jon of the Clue Crew shows some computer-rendered stills of movie action on a monitor.</a>)  Computer programs have their own version of this traditional <a href=""http://www.j-archive.com/media/2006-05-22_J_22a.jpg"" target=""_blank"">series</a> of sketches that illustrates the narrative",the storyboard,800.0
61870,6268,2011-12-14,Double Jeopardy!,WHAT'S ON YOUR iPOD?,$1600,"(<a href=""http://www.j-archive.com/media/2011-12-14_DJ_29.jpg"" target=""_blank"">Hi, I'm Christopher Meloni.</a>)  I'm on the sonic cutting edge listening to songs from this band's albums like ""In Rainbows"" or ""OK Computer""",Radiohead,1600.0
63494,5290,2007-09-14,Double Jeopardy!,ELECTRONICA,$2000,"(<a href=""http://www.j-archive.com/media/2007-09-14_DJ_23.jpg"" target=""_blank"">Jimmy of the Clue Crew delivers the clue from Sony Headquarters in Tokyo, Japan</a>) PS3 makes games more realistic using computer power from this alliterative technology in which multiple core CPUs run at once",parallel processing,2000.0
64494,5733,2009-08-07,Double Jeopardy!,SELF-CONTRADICTORY WORDS,$1200,"It's to put to death legally, or to start, as in a computer program",execute,1200.0
65906,4451,2004-05-01,Jeopardy!,DO I KNOW YOU FROM SOMEWHERE?,$600,"In 1984, with a thousand bucks & a dream, he founded the computer company named for himself",Michael Dell,600.0
65936,4451,2004-05-01,Double Jeopardy!,TECH TV,$1200,"A ""Cybercrime"" episode showed how students at Washington's Highline High used computers to change these",grades,1200.0
66357,5205,2007-06-04,Double Jeopardy!,THEIR ALBUMS ROCK,$1200,"""Pablo Honey"", ""OK Computer"", ""Hail To The Thief""",Radiohead,1200.0
67123,4998,2006-10-05,Double Jeopardy!,THE NEW YORK TIMES ARTS,$400,Computer analysis of newly found paintings said the drip patterns weren't consistent with this artist's previous works,Pollock,400.0
67692,4608,2004-09-22,Jeopardy!,GAME OVER,$1000,You've spoken to Atrus on D'ni so put your mouse down and eject this computer game,Myst,1000.0
67793,3874,2001-07-06,Jeopardy!,THE FIRST PERSON,$400,"Apple Computer's Steve Wozniak organized this festival, seen <a href=""http://www.j-archive.com/media/2001-06-07_J_09.jpg"" target=""_blank"">here</a>","The ""Us"" Festival",400.0
70148,5720,2009-06-19,Jeopardy!,COMMON COMPUTER ABBREV.,$1000,A regional computer linker: LAN,local area network,1000.0
71011,5921,2010-05-17,Jeopardy!,CUT!,$200,"To move text to another part of a computer document is called ""cut and"" this",paste,200.0
71814,5270,2007-06-07,Double Jeopardy!,COMPUTER MILESTONES,$400,"1981: This company introduces its ""Personal Computer"" using the MS-DOS operating system",IBM,400.0
71820,5270,2007-06-07,Double Jeopardy!,COMPUTER MILESTONES,$800,"1988: Crafted by Robert Morris, the first known one of these viruses wriggles into computers",a worm,800.0
71832,5270,2007-06-07,Double Jeopardy!,COMPUTER MILESTONES,$1600,1997: A computer with this colorful name defeats a world chess champion,Deep Blue,1600.0
71963,5341,2007-11-26,Jeopardy!,COMPUTER ON!,$200,"Often used with ctrl & alt, this computer key will remove the letter to the right of the cursor",delete,200.0
71969,5341,2007-11-26,Jeopardy!,COMPUTER ON!,$400,In 2006 Apple started using this company's microprocessors in its Macintosh computers,Intel,400.0
71975,5341,2007-11-26,Jeopardy!,COMPUTER ON!,"$2,400",Robert Metcalfe was inducted into the Inventors' Hall of Fame for this computer network that sounds like an anesthetic,Ethernet,2400.0
71981,5341,2007-11-26,Jeopardy!,COMPUTER ON!,$800,"To copy video from your camcorder to a computer, use this ""blazing"" fast connection some call i.Link",FireWire,800.0
72000,5341,2007-11-26,Double Jeopardy!,LOOSE WHEEL,$800,"If the wheel is loose on your computer's mouse, you may find it hard to do this up & down screen function",scrolling,800.0
73005,4285,2003-03-28,Double Jeopardy!,SHE BLINDED ME WITH SCIENCE,$400,Pioneering computer programmer Grace Murray Hopper coined this term for a mysterious computer problem,bug,400.0
73093,5420,2008-03-14,Double Jeopardy!,"""KEY""",$2000,"Early machine for computer inputting, such as the IBM 29",a keypunch,2000.0
73612,6008,2010-10-27,Double Jeopardy!,ECO-FRIENDLY VAMPIRES,$800,"Instead of driving, the E.V.S stay green by working from home via computer & fax--this 13-letter term",telecommuting,800.0
73784,5975,2010-07-30,Double Jeopardy!,THE CLEVELAND CLINIC,$400,"(<a href=""http://www.j-archive.com/media/2010-07-30_DJ_04.wmv"">Sarah of the Clue Crew delivers the clue from the Cleveland Clinic.</a>)  Accessing these images on a computer so they're instant and expandable is a big innovation for the Cleveland Clinic. In 1929, when they were nitrocellulose, films stored here combusted, killing 123 people.",X-rays,400.0
73810,3559,2000-10-02,Jeopardy!,COUNTRIES BY COLLEGE,$100,"Max Planck Institute for Computer Science, Braunschweig Tech, The University of Augsburg",Germany,100.0
74018,5847,2010-02-02,Double Jeopardy!,NON-EDIBLE FRUIT TERMS,$400,"In 1983 this company introduced the Lisa, the first commercial computer to feature a mouse",Apple,400.0
74816,5894,2010-08-04,Jeopardy!,SOUNDS,$800,The name of this Southwest Airlines computer application represents the seatbelt-sign-is-off sound,ding!,800.0
76354,6211,2011-09-26,Jeopardy!,ALSO A ZODIAC SYMBOL,$600,Microsoft recommends that your computer have at least 1 gigabyte of this to run Windows 7,RAM,600.0
76393,6211,2011-09-26,Double Jeopardy!,LOOK WHAT THE CAT SCAN DRAGGED IN,"$1,200","CAT stands for computerized this tomography, because it moves across the body's transverse plane",axial,1200.0
76587,5059,2006-09-14,Jeopardy!,COMPUTER HISTORY,$400,This computer was introduced in 1984 & came with a MacWrite text program & a MacPaint program for graphics,Apple Macintosh,400.0
76599,5059,2006-09-14,Jeopardy!,COMPUTER HISTORY,$800,"Even before all the polls closed, CBS used this huge computer to predict the result of the 1952 presidential election",UNIVAC,800.0
77184,3656,2000-06-26,Jeopardy!,MEASURED IN INCHES,$200,"Computer users today usually use the 3.5"" types of these, but probably still remember the old 5.25"" type",Floppy disk,200.0
78134,5272,2007-10-07,Double Jeopardy!,"THE ""SPACE"" AGE",$400,Computer key at the top right of the main keyboard grid,backspace,400.0
79894,4923,2006-01-25,Double Jeopardy!,"THE ""UN""CATEGORY",$1600,The first commercially available electronic computer,UNIVAC,1600.0
80070,5723,2009-06-24,Double Jeopardy!,"RING OF ""FIRE""",$1200,A security system designed to prevent unwelcome hacking on your computer,a firewall,1200.0
81236,5166,2007-12-02,Jeopardy!,LETTER PERFECT,$1000,The top letter row of a standard computer keyboard starts with Q & ends with this letter,P,1000.0
81291,4559,2004-03-06,Jeopardy!,"A VULGAR DISPLAY OF ""POWER""",$800,Any of several portable G4 computers made by Apple,Powerbooks,800.0
83853,5041,2006-10-07,Jeopardy!,SAMES NAMES AS THE JACKSON 5,$400,"Dude, you're getting this first name of the founder of Dell Computer Corp.",Michael,400.0
83897,5041,2006-10-07,Double Jeopardy!,THE 2005 FORTUNE 500,$1600,"Let's see, I need 127 gallons of OJ, 5,050 rolls of paper towels & 4 computers... I'm off to this company, No. 28",Costco,1600.0
85075,3659,2000-06-29,Jeopardy!,"""WORD"" PLAY",$400,It's the 2-word term for computer manipulation of text,Word processing,400.0
86622,5832,2010-12-01,Jeopardy!,"MAKE A ""DOWN"" PAYMENT",$600,To transfer a file or program from the Internet to your home computer,download,600.0
87403,4710,2005-11-02,Jeopardy!,20th CENTURY SCIENCE TIDBITS,$1000,The UNIVAC computer used this format for permanent data storage,magnetic tape,1000.0
87519,4143,2002-11-09,Jeopardy!,E.T. 20th ANNIVERSARY,$800,"Through computer magic, federal agents no longer brandish guns; instead they carry these rhyming devices, 10-4!",Walkie-talkies,800.0
88219,3921,2001-09-24,Double Jeopardy!,"RATED ""G""",$1000,"In computers, it's a measure of storage capacity equal to 1 billion bytes",a gigabyte,1000.0
88853,3576,2000-06-03,Jeopardy!,"THE ""ND""",$500,On a computer keyboard this symbol is usually on the same key as the 7,Ampersand,500.0
89429,4856,2005-10-24,Jeopardy!,THE 2004 FORTUNE 500,$600,"This Round Rock, Texas computer maker was No. 28, up 3 spots from 2003",Dell,600.0
89615,5229,2007-10-05,Jeopardy!,GETTING A JOB DOs & DON'Ts,$800,"If you email your resume, make sure the attachment doesn't contain this infectious computer agent",virus,800.0
90226,4666,2004-12-13,Jeopardy!,RHYME TIME,$1000,At many Starbucks you can surf the Internet cordless with this type of rhyming computer network card,Wi-Fi,1000.0
91460,3826,2001-02-04,Jeopardy!,"U.S. ""O"" TOUR",$100,"Thanks to a National Park Service webcam, you can see this famous geyser erupt live on your computer",Old Faithful,100.0
93661,5536,2008-06-10,Double Jeopardy!,COLLEGES & UNIVERSITIES,$1600,"(<a href=""http://www.j-archive.com/media/2008-10-06_DJ_29.jpg"" target=""_blank"">Jimmy of the Clue Crew holds the first computer mouse at SRI International.</a>)  The first computer mouse was developed & <a href=""http://www.j-archive.com/media/2008-10-06_DJ_29.wmv"">demonstrated</a> here at SRI back when SRI was affiliated with this university as its research institute",Stanford,1600.0
