,Show Number,Air Date,Round,Category,Value,Question,Answer,value_float
108006,3188,1998-10-06,Double Jeopardy!,"THE ""N"" CROWD",$400,A compact laptop computer,Notebook,400.0
110540,3374,1999-04-15,Jeopardy!,LETTERS & NUMBERS,$300,"Many computers won't recognize 00 as the year 2000 because of this problem, also known as ""The Millennium Bug""",Y2K,300.0
112957,484,1986-10-16,Double Jeopardy!,WW III,$400,"Child's game which convinced computer in ""War Games"" of the futility of nuclear war",tic tac toe,400.0
117126,3474,1999-10-14,Jeopardy!,YOU OUGHTA KNOW,$300,"Hungarian-born Andrew Grove rose ""inside"" this computer chip company & made it dominant today",Intel,300.0
117797,2997,1997-09-16,Jeopardy!,UNUSUAL TV CHARACTERS,$400,Lisa is the computer-generated woman in the USA series based on this John Hughes film,"""Weird Science""",400.0
120072,3119,1998-05-03,Double Jeopardy!,ELECTRONICS,$200,This device allows a computer to connect to phone lines & access other computers on the internet,Modem,200.0
120084,3119,1998-05-03,Double Jeopardy!,ELECTRONICS,$600,This element is the main ingredient of most computer chips,Silicon,600.0
120326,3210,1998-10-07,Double Jeopardy!,OXYMORONS,$600,"Abbreviated VR, it was coined by computer scientist & musician Jaron Lanier",Virtual reality,600.0
127287,2846,1997-06-01,Jeopardy!,WEIGHTS & MEASURES,$500,"Abbreviated G or GB in computerese, it's equal to 1,024 MB",a gigabyte,500.0
131058,3448,1999-08-09,Double Jeopardy!,COMPUTERS,$200,Apple made a computer called Lisa before they introduced this famous one in 1984,Macintosh,200.0
131076,3448,1999-08-09,Double Jeopardy!,COMPUTERS,$800,"It works like a photocopy machine, but it copies images into the computer",Scanner,800.0
131082,3448,1999-08-09,Double Jeopardy!,COMPUTERS,$1000,"The number of MHz, which stands for this, tells you how fast a computer you have",Megahertz,1000.0
132840,2953,1997-04-06,Double Jeopardy!,POTPOURRI,$400,"This computer maker's NASDAQ symbol is AAPL, not MAC",Apple,400.0
134640,3133,1998-03-25,Double Jeopardy!,MOTHERS OF INVENTION,$800,"In the 1950s Grace Hopper created this ""Common Business-Oriented Language"" for computers",COBOL,800.0
136011,3497,1999-11-16,Double Jeopardy!,POTPOURRI,$600,"If your computer has this kind of ""base"", you should know it's the plural of ""datum""",data,600.0
137677,3166,1998-11-05,Double Jeopardy!,THE 1998 GRAMMYS,$1000,"This band from Oxford got their diploma, a Grammy for the album ""OK Computer""",Radiohead,1000.0
141117,1318,1990-02-05,Double Jeopardy!,TECHNOLOGY,$800,The moveable lined glass on a slide rule or the blinking symbol on a computer screen,Cursor,800.0
143069,2578,1995-11-15,Double Jeopardy!,1995,$400,"In June, Lotus Development Corporation agreed to be taken over by this computer giant",IBM,400.0
143917,2038,1993-06-16,Double Jeopardy!,U.S. GOVERNMENT,$800,"This agency, the GSA, operates the Federal Communications & Computer Systems",General Services Administration,800.0
145511,3333,1999-02-17,Double Jeopardy!,TECHNOLOGY,$400,"Far less powerful than today's PC, this 1950s machine was the U.S.A.'s first commercial computer",UNIVAC,400.0
145535,3110,1998-02-20,Jeopardy!,BUSINESS & INDUSTRY,$100,"A big name in computers, this company is known as HP for short",Hewlett-Packard,100.0
148139,3412,1999-08-06,Double Jeopardy!,THE Y2K BUG,$200,"The basic danger of the bug is that in 2000, computers will think it's this year",1900,200.0
148151,3412,1999-08-06,Double Jeopardy!,THE Y2K BUG,$600,"The bug partly stems from 6-digit dates in this 1960s ""business-oriented"" computer language",COBOL,600.0
148532,2867,1997-04-02,Jeopardy!,"ENDS IN ""ICK""",$200,Computer or video game cursor mover,Joystick,200.0
148905,3527,1999-12-28,Jeopardy!,1999 BOFFO B.O.,$500,In this 1999 film Keanu Reeves finds himself in a computer-generated world,The Matrix,500.0
149993,1525,1991-03-29,Jeopardy!,BUSINESS & INDUSTRY,$100,This biggest computer company is biggest also among companies in philanthropic contributions,IBM,100.0
154056,3337,1999-02-23,Double Jeopardy!,20th CENTURY AMERICA,$400,"On April 1, 1976 2 engineers with $1,300 in capital began this computer company in Cupertino, California",Apple,400.0
154076,3337,1999-02-23,Final Jeopardy!,SYMBOLS,None,In 1972 programmer Ray Tomlinson chose it to separate an e-mail user's name from the computer's name,@,0.0
155422,3314,1999-01-21,Jeopardy!,ONLINE LINGO,$400,"When you find those wacky 1970s photos of me online, it's time to do this, meaning transfer them to your computer",Download,400.0
158912,2966,1997-06-23,Double Jeopardy!,BUSINESS & INDUSTRY,$800,This computer company's new Presario 4402 features an infrared remote control,Compaq,800.0
167950,68,1984-12-12,Jeopardy!,INVENTIONS,$300,1899 device for attaching papers that can ruin a computer disc when magnetized,a paper clip,300.0
170148,3348,1999-10-03,Jeopardy!,"""IN""",$200,"The initials of computer giant ""IBM"" stand for this",International Business Machines,200.0
172646,3378,1999-04-21,Double Jeopardy!,"""FI""",$1000,"In computer security, this device blocks unauthorized access to a LAN, a local area network",Firewall,1000.0
174325,3180,1998-05-29,Double Jeopardy!,SCIENCE & NATURE,$1000,"Announced on February 14, 1946, this first electronic digital computer had 18,000 vacuum tubes",ENIAC (Electronic Numerical Integrator And Computer),1000.0
175232,3055,1997-05-12,Jeopardy!,TECHNOLOGY,$200,"The IBM ""computer"" of 1928 stored its data on these",Punch cards,200.0
175433,1320,1990-04-05,Double Jeopardy!,IN THE NEWS,$200,"Garry Kasparov recently beat a computer program, Deep Thought, in a game of this",Chess,200.0
177634,965,1988-11-11,Jeopardy!,SEWING,$500,"It's fabric that gives body & shape to a collar, not two computers talking",interfacing,500.0
178078,3363,1999-03-31,Double Jeopardy!,OLYMPIC MASCOTS,$1000,"The computer-generated ""Whatizit"" that symbolized the '96 games in Atlanta was called this for short",Izzy,1000.0
179068,3395,1999-05-14,Jeopardy!,ROGER EBERT ON MOVIES,$500,This 1982 Disney film in which a man gets lost in a computer was part of my 1999 Overlooked Film Festival,Tron,500.0
180954,2870,1997-07-02,Jeopardy!,COMPUTERS,$300,"This company describes its pentium chip as ""The Computer Inside""",Intel,300.0
180966,2870,1997-07-02,Jeopardy!,COMPUTERS,$500,"This North Sioux City, S.D. mail order computer maker issues a MasterCard with a cowhide print on it",Gateway 2000,500.0
182904,2839,1996-12-26,Double Jeopardy!,BRITISH TV,$600,This computer-created Matt Frewer character had a British music video show before the U.S. drama,Max Headroom,600.0
186728,2543,1995-09-27,Double Jeopardy!,WOMEN,$600,"Grace Murray Hopper, who helped develop COBOL, also coined this term for a computer glitch",a bug,600.0
189977,1002,1989-03-01,Jeopardy!,GAMES,$300,"A computer version of this, the world's most popular board game, cuts playing time by &#8532;",Monopoly,300.0
191881,2840,1996-12-27,Jeopardy!,CORPORATE AMERICA,$500,Hoover's Handbook says this South Dakota mail-order computer firm is the USA's fastest-growing company,Gateway 2000,500.0
191929,2815,1996-11-22,Jeopardy!,BUSINESS & INDUSTRY,$300,In 1993 Louis V. Gerstner became the first outsider to head this computer giant,IBM,300.0
193263,3057,1997-09-12,Double Jeopardy!,HODGEPODGE,$800,In 1997 this chess champ was blue over this defeat in a match by IBM's Deep Blue computer,Garry Kasparov,800.0
193712,3392,1999-11-05,Jeopardy!,WEALTHY,$500,Prince Alwaleed Bin Talal is the biggest individual shareholder in Apple Computer & this amusement park near Paris,Euro Disney,500.0
196362,2958,1997-11-06,Jeopardy!,4-LETTER WORDS,$200,On a computer screen this small picture represents a specific program,an icon,200.0
196401,2958,1997-11-06,Double Jeopardy!,TECHNOLOGY,$800,This company's C90 Supercomputer can perform 16 billion calculations per second,Cray Research Company,800.0
196949,1308,1990-04-18,Jeopardy!,TECHNOLOGY,$100,"In 1981 this company introduced the PC, its first home computer",IBM,100.0
197458,3394,1999-05-13,Double Jeopardy!,FAMOUS FOLKS,$200,"Billionaire business giant who said, ""In the personal computer industry, innovation is the path to success""",Bill Gates,200.0
201040,2829,1996-12-12,Jeopardy!,BUSINESS & INDUSTRY,$300,"In 1995 this firm released an upgraded version of its Newton messagepad, a hand-held computer",Apple,300.0
201630,3208,1998-08-07,Jeopardy!,DON'T DO THIS,$200,"In February 1998 the Pentagon said its computers had been invaded by these, the title of a 1995 film",Hackers,200.0
201746,1323,1990-09-05,Jeopardy!,SCIENCE,$100,"In computerese, a ""vaccine"" is a program that seeks out & destroys these",Computer viruses,100.0
205304,3070,1997-12-26,Double Jeopardy!,MILESTONES IN MATH,$200,In the '40s Harvard's Howard Aiken developed the Mark I computer with this company's help,IBM,200.0
206907,3260,1998-06-11,Double Jeopardy!,4-LETTER WORDS,$600,"A computer ready to receive information over a modem is ""on"" this",line,600.0
209897,2676,1996-01-04,Jeopardy!,APRIL FOOLS' DAY,$200,"The ""core"" of this computer company goes back to its founding, April 1, 1976",Apple Computer,200.0
211882,3224,1998-09-17,Double Jeopardy!,WORD ORIGINS,$200,"Derived from the Greek for ""throw"", you can throw a floppy one into a computer & store a file",a disk,200.0
212789,2871,1997-10-02,Double Jeopardy!,ESSAYS,$800,"This humorist's collection of essays ""In Cyberspace"" is formatted like a computer manual",Dave Barry,800.0
216527,3038,1997-12-11,Jeopardy!,COMPUTERESE,$400,"Like a waiter, a network computer might say ""I'll be your"" this & store files or manage printers",Server,400.0
216533,3038,1997-12-11,Jeopardy!,COMPUTERESE,$500,"""Strap"" once completed this word meaning to start a computer by loading software",Boot,500.0
